date,open,high,low,close,volume,dividends,stock_splits,symbol
2025-11-03 00:00:00+08:00,51.20000076293945,51.20000076293945,50.599998474121094,50.599998474121094,54001,0.0,0.0,1591.TWO
2025-11-04 00:00:00+08:00,50.79999923706055,53.5,50.5,53.5,775100,0.0,0.0,1591.TWO
2025-11-05 00:00:00+08:00,52.79999923706055,52.79999923706055,50.599998474121094,50.70000076293945,606001,0.0,0.0,1591.TWO
2025-11-06 00:00:00+08:00,51.400001525878906,52.20000076293945,50.5,51.20000076293945,244001,0.0,0.0,1591.TWO
2025-11-07 00:00:00+08:00,50.70000076293945,50.900001525878906,49.349998474121094,50.0,447000,0.0,0.0,1591.TWO
2025-11-10 00:00:00+08:00,50.20000076293945,50.20000076293945,48.5,48.79999923706055,331000,0.0,0.0,1591.TWO
2025-11-11 00:00:00+08:00,48.79999923706055,50.5,48.599998474121094,49.70000076293945,510000,0.0,0.0,1591.TWO
2025-11-12 00:00:00+08:00,53.0,53.5,50.599998474121094,52.099998474121094,589001,0.0,0.0,1591.TWO
2025-11-13 00:00:00+08:00,53.0,56.29999923706055,52.29999923706055,53.400001525878906,1109045,0.0,0.0,1591.TWO
2025-11-14 00:00:00+08:00,53.400001525878906,53.400001525878906,50.79999923706055,51.20000076293945,386007,0.0,0.0,1591.TWO
2025-11-17 00:00:00+08:00,51.29999923706055,51.5,50.599998474121094,50.599998474121094,158013,0.0,0.0,1591.TWO
2025-11-18 00:00:00+08:00,50.70000076293945,50.79999923706055,49.54999923706055,49.70000076293945,508008,0.0,0.0,1591.TWO
2025-11-19 00:00:00+08:00,50.0,50.0,48.849998474121094,48.900001525878906,174010,0.0,0.0,1591.TWO
2025-11-20 00:00:00+08:00,49.849998474121094,50.0,47.900001525878906,48.099998474121094,183221,0.0,0.0,1591.TWO
2025-11-21 00:00:00+08:00,47.5,48.04999923706055,46.29999923706055,46.54999923706055,231094,0.0,0.0,1591.TWO
2025-11-24 00:00:00+08:00,46.70000076293945,47.29999923706055,45.95000076293945,45.95000076293945,261018,0.0,0.0,1591.TWO
2025-11-25 00:00:00+08:00,46.150001525878906,47.0,44.5,44.5,394001,0.0,0.0,1591.TWO
2025-11-26 00:00:00+08:00,44.54999923706055,46.650001525878906,44.54999923706055,46.20000076293945,119000,0.0,0.0,1591.TWO
2025-11-27 00:00:00+08:00,45.599998474121094,46.70000076293945,45.099998474121094,45.849998474121094,73070,0.0,0.0,1591.TWO
2025-11-28 00:00:00+08:00,45.95000076293945,46.400001525878906,45.5,46.349998474121094,26010,0.0,0.0,1591.TWO
2025-12-01 00:00:00+08:00,46.5,46.599998474121094,46.0,46.0,44001,0.0,0.0,1591.TWO
2025-12-02 00:00:00+08:00,47.150001525878906,47.45000076293945,46.54999923706055,47.099998474121094,95006,0.0,0.0,1591.TWO
2025-12-03 00:00:00+08:00,47.5,48.29999923706055,47.099998474121094,47.54999923706055,65003,0.0,0.0,1591.TWO
2025-12-04 00:00:00+08:00,47.5,48.349998474121094,47.20000076293945,48.349998474121094,56001,0.0,0.0,1591.TWO
2025-12-05 00:00:00+08:00,48.0,48.45000076293945,47.5,47.849998474121094,61001,0.0,0.0,1591.TWO
2025-12-08 00:00:00+08:00,47.79999923706055,52.099998474121094,47.54999923706055,51.5,312006,0.0,0.0,1591.TWO
2025-12-09 00:00:00+08:00,51.20000076293945,52.20000076293945,50.5,50.79999923706055,309011,0.0,0.0,1591.TWO
2025-12-10 00:00:00+08:00,51.20000076293945,51.5,50.20000076293945,50.29999923706055,199468,0.0,0.0,1591.TWO
2025-12-11 00:00:00+08:00,51.0,51.0,49.900001525878906,49.900001525878906,77006,0.0,0.0,1591.TWO
2025-12-12 00:00:00+08:00,49.45000076293945,50.0,48.25,48.5,182005,0.0,0.0,1591.TWO
2025-12-15 00:00:00+08:00,48.0,49.150001525878906,47.79999923706055,48.79999923706055,100000,0.0,0.0,1591.TWO
2025-12-16 00:00:00+08:00,49.20000076293945,51.0,48.25,48.75,182005,0.0,0.0,1591.TWO
2025-12-17 00:00:00+08:00,49.95000076293945,50.0,48.0,49.150001525878906,89006,0.0,0.0,1591.TWO
2025-12-18 00:00:00+08:00,49.29999923706055,49.599998474121094,48.0,49.25,126031,0.0,0.0,1591.TWO
2025-12-19 00:00:00+08:00,49.75,50.70000076293945,49.25,49.45000076293945,94003,0.0,0.0,1591.TWO
2025-12-22 00:00:00+08:00,50.0,50.5,49.04999923706055,49.650001525878906,184007,0.0,0.0,1591.TWO
2025-12-23 00:00:00+08:00,49.5,50.20000076293945,49.25,49.599998474121094,98002,0.0,0.0,1591.TWO
2025-12-24 00:00:00+08:00,49.650001525878906,50.400001525878906,49.349998474121094,49.400001525878906,68005,0.0,0.0,1591.TWO
2025-12-26 00:00:00+08:00,50.5,50.5,49.099998474121094,49.45000076293945,46002,0.0,0.0,1591.TWO
2025-12-29 00:00:00+08:00,49.45000076293945,51.099998474121094,49.45000076293945,50.20000076293945,213150,0.0,0.0,1591.TWO
2025-12-30 00:00:00+08:00,50.20000076293945,51.0,50.099998474121094,50.29999923706055,76004,0.0,0.0,1591.TWO
2025-12-31 00:00:00+08:00,50.099998474121094,50.79999923706055,50.099998474121094,50.400001525878906,92004,0.0,0.0,1591.TWO
2026-01-02 00:00:00+08:00,51.0,54.5,50.79999923706055,52.900001525878906,1167686,0.0,0.0,1591.TWO
2026-01-05 00:00:00+08:00,52.900001525878906,54.599998474121094,49.70000076293945,50.5,793005,0.0,0.0,1591.TWO
2026-01-06 00:00:00+08:00,50.900001525878906,51.29999923706055,49.849998474121094,50.900001525878906,169058,0.0,0.0,1591.TWO
2026-01-07 00:00:00+08:00,51.0,51.099998474121094,49.70000076293945,50.0,128029,0.0,0.0,1591.TWO
2026-01-08 00:00:00+08:00,50.0,52.0,50.0,50.29999923706055,268001,0.0,0.0,1591.TWO
2026-01-09 00:00:00+08:00,50.29999923706055,50.900001525878906,49.599998474121094,50.70000076293945,141025,0.0,0.0,1591.TWO
2026-01-12 00:00:00+08:00,50.79999923706055,51.099998474121094,49.900001525878906,50.79999923706055,115004,0.0,0.0,1591.TWO
2026-01-13 00:00:00+08:00,52.0,53.0,50.400001525878906,50.5,394019,0.0,0.0,1591.TWO
2026-01-14 00:00:00+08:00,51.20000076293945,52.400001525878906,50.70000076293945,50.900001525878906,336001,0.0,0.0,1591.TWO
2026-01-15 00:00:00+08:00,51.5,51.5,50.099998474121094,50.5,143005,0.0,0.0,1591.TWO
2026-01-16 00:00:00+08:00,50.599998474121094,51.20000076293945,50.29999923706055,50.5,132031,0.0,0.0,1591.TWO
2026-01-19 00:00:00+08:00,50.79999923706055,50.900001525878906,49.849998474121094,49.900001525878906,249052,0.0,0.0,1591.TWO
2026-01-20 00:00:00+08:00,49.599998474121094,50.400001525878906,49.150001525878906,49.900001525878906,150000,0.0,0.0,1591.TWO
2026-01-21 00:00:00+08:00,49.5,50.0,48.20000076293945,48.70000076293945,231033,0.0,0.0,1591.TWO
2026-01-22 00:00:00+08:00,49.25,50.20000076293945,48.0,48.599998474121094,171151,0.0,0.0,1591.TWO
