date,open,high,low,close,volume,dividends,stock_splits,symbol
2025-11-03 00:00:00+08:00,152.0,152.5,149.0,149.0,94031,0.0,0.0,6996.TWO
2025-11-04 00:00:00+08:00,149.5,149.5,142.5,143.0,175005,0.0,0.0,6996.TWO
2025-11-05 00:00:00+08:00,142.0,143.0,139.0,143.0,73020,0.0,0.0,6996.TWO
2025-11-06 00:00:00+08:00,143.5,144.5,141.0,142.5,95000,0.0,0.0,6996.TWO
2025-11-07 00:00:00+08:00,141.5,141.5,139.5,139.5,64000,0.0,0.0,6996.TWO
2025-11-10 00:00:00+08:00,143.0,148.0,143.0,147.5,235000,0.0,0.0,6996.TWO
2025-11-11 00:00:00+08:00,147.0,148.0,146.0,146.5,52015,0.0,0.0,6996.TWO
2025-11-12 00:00:00+08:00,146.0,156.5,146.0,152.5,131152,0.0,0.0,6996.TWO
2025-11-13 00:00:00+08:00,152.0,153.0,151.0,153.0,43000,0.0,0.0,6996.TWO
2025-11-14 00:00:00+08:00,152.5,156.0,151.0,152.0,77050,0.0,0.0,6996.TWO
2025-11-17 00:00:00+08:00,153.0,153.0,147.0,147.0,69136,0.0,0.0,6996.TWO
2025-11-18 00:00:00+08:00,146.5,148.0,143.0,144.0,81011,0.0,0.0,6996.TWO
2025-11-19 00:00:00+08:00,145.0,145.0,140.5,141.0,86021,0.0,0.0,6996.TWO
2025-11-20 00:00:00+08:00,142.0,143.5,142.0,143.0,55003,0.0,0.0,6996.TWO
2025-11-21 00:00:00+08:00,142.5,152.0,140.5,147.0,315010,0.0,0.0,6996.TWO
2025-11-24 00:00:00+08:00,150.5,157.0,149.5,149.5,351010,0.0,0.0,6996.TWO
2025-11-25 00:00:00+08:00,152.0,152.0,148.0,149.0,77030,0.0,0.0,6996.TWO
2025-11-26 00:00:00+08:00,149.5,153.5,149.5,151.5,142100,0.0,0.0,6996.TWO
2025-11-27 00:00:00+08:00,151.0,155.0,151.0,151.5,115000,0.0,0.0,6996.TWO
2025-11-28 00:00:00+08:00,152.0,154.0,150.5,151.5,109000,0.0,0.0,6996.TWO
2025-12-01 00:00:00+08:00,151.5,153.0,150.5,152.5,50075,0.0,0.0,6996.TWO
2025-12-02 00:00:00+08:00,152.0,152.0,148.5,149.0,94030,0.0,0.0,6996.TWO
2025-12-03 00:00:00+08:00,150.0,150.5,149.0,149.0,51000,0.0,0.0,6996.TWO
2025-12-04 00:00:00+08:00,150.5,153.5,150.0,152.0,56000,0.0,0.0,6996.TWO
2025-12-05 00:00:00+08:00,151.0,151.0,145.0,146.0,178000,0.0,0.0,6996.TWO
2025-12-08 00:00:00+08:00,146.5,148.5,146.0,147.5,44021,0.0,0.0,6996.TWO
2025-12-09 00:00:00+08:00,148.0,149.5,146.0,148.0,95000,0.0,0.0,6996.TWO
2025-12-10 00:00:00+08:00,146.5,147.0,145.5,145.5,59001,0.0,0.0,6996.TWO
2025-12-11 00:00:00+08:00,145.0,149.5,143.5,144.5,203000,0.0,0.0,6996.TWO
2025-12-12 00:00:00+08:00,145.0,145.0,144.0,144.5,28002,0.0,0.0,6996.TWO
2025-12-15 00:00:00+08:00,142.5,144.5,142.0,143.0,36001,0.0,0.0,6996.TWO
2025-12-16 00:00:00+08:00,143.0,144.0,141.5,143.5,42099,0.0,0.0,6996.TWO
2025-12-17 00:00:00+08:00,143.5,149.0,143.5,145.5,126000,0.0,0.0,6996.TWO
2025-12-18 00:00:00+08:00,146.5,146.5,144.0,144.5,42001,0.0,0.0,6996.TWO
2025-12-19 00:00:00+08:00,146.0,146.0,143.0,143.5,47010,0.0,0.0,6996.TWO
2025-12-22 00:00:00+08:00,144.5,146.0,144.0,145.0,30030,0.0,0.0,6996.TWO
2025-12-23 00:00:00+08:00,145.0,145.5,144.5,145.0,22026,0.0,0.0,6996.TWO
2025-12-24 00:00:00+08:00,145.5,146.5,144.5,145.0,23000,0.0,0.0,6996.TWO
2025-12-26 00:00:00+08:00,146.0,148.5,145.0,147.0,91000,0.0,0.0,6996.TWO
2025-12-29 00:00:00+08:00,149.0,150.5,147.5,147.5,96030,0.0,0.0,6996.TWO
2025-12-30 00:00:00+08:00,147.5,147.5,146.0,146.5,47036,0.0,0.0,6996.TWO
2025-12-31 00:00:00+08:00,147.0,154.5,145.5,150.0,165030,0.0,0.0,6996.TWO
2026-01-02 00:00:00+08:00,151.5,153.5,150.5,151.0,195004,0.0,0.0,6996.TWO
2026-01-05 00:00:00+08:00,151.0,151.0,140.5,142.5,641243,0.0,0.0,6996.TWO
2026-01-06 00:00:00+08:00,143.0,151.0,143.0,149.5,216140,0.0,0.0,6996.TWO
2026-01-07 00:00:00+08:00,151.0,158.0,150.5,156.0,448195,0.0,0.0,6996.TWO
